step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56841e-06,0.00197778,0,0,0
100,7.67409e-05,0.00193855,65536,0,0
200,0.000100346,0.00186947,65536,0,0
300,0.000124666,0.0018005,65536,0,0
400,0.000148379,0.00174115,65536,0,0
500,0.000166559,0.00169472,65536,0,0
600,0.000178225,0.00166099,65536,0,0
700,0.000184536,0.00163793,65536,0,0
800,0.000186991,0.0016231,65536,0,0
900,0.000186819,0.00161439,65536,0,0
1000,0.000184901,0.00161006,65536,0,0
1100,0.000181831,0.00160892,65536,0,0
1200,0.000178022,0.00161,65536,0,0
1300,0.000173736,0.00161273,65536,0,0
1400,0.000169159,0.00161665,65536,0,0
1500,0.000164419,0.00162145,65536,0,0
1600,0.000159603,0.00162693,65536,0,0
1700,0.000154773,0.00163292,65536,0,0
1800,0.000149971,0.0016393,65536,0,0
1900,0.00014523,0.00164598,65536,0,0
1999,0.000140616,0.00165282,65536,0,0
