step,active_count,mean_residue
0,1000,1.0
1,786,2.0
2,694,3.0
3,444,4.0
4,348,5.0
5,281,6.0
6,187,7.0
7,137,8.0
8,98,9.0
9,67,10.0
10,48,11.0
11,38,12.0
12,28,13.0
13,19,14.0
14,14,15.0
15,14,16.0
16,14,17.0
17,14,18.0
18,14,19.0
19,14,20.0
20,14,21.0
21,14,22.0
22,14,23.0
23,14,24.0
24,14,25.0
25,14,26.0
26,14,27.0
27,14,28.0
28,14,29.0
29,14,30.0
30,14,31.0
31,14,32.0
32,14,33.0
33,14,34.0
34,14,35.0
35,14,36.0
36,14,37.0
37,14,38.0
38,14,39.0
39,14,40.0
40,14,41.0
41,14,42.0
42,14,43.0
43,14,44.0
44,14,45.0
45,14,46.0
46,14,47.0
47,14,48.0
48,14,49.0
49,14,50.0
50,14,51.0
51,14,52.0
52,14,53.0
53,14,54.0
54,14,55.0
55,14,56.0
56,14,57.0
57,14,58.0
58,14,59.0
59,14,60.0
60,14,61.0
61,14,62.0
62,14,63.0
63,14,64.0
64,14,65.0
65,14,66.0
66,14,67.0
67,14,68.0
68,14,69.0
69,14,70.0
70,14,71.0
71,14,72.0
72,14,73.0
73,14,74.0
74,14,75.0
75,14,76.0
76,14,77.0
77,14,78.0
78,14,79.0
79,14,80.0
80,14,81.0
81,14,82.0
82,14,83.0
83,14,84.0
84,14,85.0
85,14,86.0
86,14,87.0
87,14,88.0
88,14,89.0
89,14,90.0
90,14,91.0
91,14,92.0
92,14,93.0
93,14,94.0
94,14,95.0
95,14,96.0
96,14,97.0
97,14,98.0
98,14,99.0
99,14,100.0
